"","project","study","no","chip","well","plate","sampleID","tag_tube","type","subtype","controltype","collector","host_order","host_family","host_subfamily","host_tribe","host_genus","host_species","sex","location","sublocation","country","weight","date","year","month","day","month_day","datum","kw","BOLD_ID","note","plot_ID","elevation","temp_week","lattitude","longitude","state.province","region","sector","habitat","sample_day","CFU_Caput","CFU_Thorax","CFU_Abdomen","logCFU","tissue","CFUamount","storage","description","tag","genus_tag","group","treatment","PCR","Accession","Tax.ID","BioProject"
"AW.B1.H014_S110","16S_AW_Butterfly_join12","Peru",110,"B1","B2",3,"H014","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Manu","Los Amigos","Peru","","30.11.2022",2022,11,30,1130,"30.11.2022",49,"ANDIV1604-23","Heliconius",25,275,25.82638889,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H014","H014","He","Heliconiinae","sample","med","SAMN55876318",1202446,"PRJNA1426605"
"AW.B1.P001_S112","16S_AW_Butterfly_join12","Peru",112,"B1","B4",3,"P001","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Eurema","Eurema elathea","unknown","Paucartambo","Villa Carmen","Peru","","07.11.2022",2022,11,7,1107,"07.11.2022",46,"ANDIV1605-23","Eurema sp.",52,500,20.95768229,-12.887,-71.401,"Cusco","Paucartambo","Villa Carmen",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P001","P001","Pe","Coliadinae","sample","med","SAMN55876319",1202446,"PRJNA1426605"
"AW.B1.P002_S113","16S_AW_Butterfly_join12","Peru",113,"B1","B5",3,"P002","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis albula","unknown","Paucartambo","Villa Carmen","Peru","","24.11.2022",2022,11,24,1124,"24.11.2022",48,"ANDIV1606-23","",52,500,23.09626116,-12.895,-71.404,"Cusco","Paucartambo","Villa Carmen",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P002","P002","Pe","Coliadinae","sample","med","SAMN55876320",1202446,"PRJNA1426605"
"AW.B1.P003_S114","16S_AW_Butterfly_join12","Peru",114,"B1","B6",3,"P003","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Perrhybris","Perrhybris pamela","unknown","Manu","Los Amigos","Peru","","25.11.2022",2022,11,25,1125,"25.11.2022",48,"ANDIV1607-23","Perrhybis pamela?",23,245,25.30478051,-12.551,-70.097,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P003","P003","Pe","Pierinae","sample","med","SAMN55876321",1202446,"PRJNA1426605"
"AW.B1.P004_S115","16S_AW_Butterfly_join12","Peru",115,"B1","B7",3,"P004","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Glutophrissa","Glutophrissa drusilla","unknown","Manu","Los Amigos","Peru","","27.11.2022",2022,11,27,1127,"27.11.2022",49,"ANDIV1608-23","",25,275,26.06597222,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P004","P004","Pe","Pierinae","sample","med","SAMN55876322",1202446,"PRJNA1426605"
"AW.B1.P005_S116","16S_AW_Butterfly_join12","Peru",116,"B1","B8",3,"P005","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Coliadini","Anteos","Anteos menippe","unknown","Manu","Los Amigos","Peru","","27.11.2022",2022,11,27,1127,"27.11.2022",49,"ANDIV1609-23","",25,275,26.06597222,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P005","P005","Pe","Coliadinae","sample","med","SAMN55876323",1202446,"PRJNA1426605"
"AW.B1.P006_S117","16S_AW_Butterfly_join12","Peru",117,"B1","B9",3,"P006","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis albula","unknown","Manu","Los Amigos","Peru","","27.11.2022",2022,11,27,1127,"27.11.2022",49,"ANDIV1610-23","Liptenina",25,275,26.06597222,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P006","P006","Pe","Coliadinae","sample","med","SAMN55876324",1202446,"PRJNA1426605"
"AW.B1.P007_S118","16S_AW_Butterfly_join12","Peru",118,"B1","B10",3,"P007","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis albula","unknown","Manu","Los Amigos","Peru","","27.11.2022",2022,11,27,1127,"27.11.2022",49,"ANDIV1611-23","",25,275,26.06597222,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P007","P007","Pe","Coliadinae","sample","med","SAMN55876325",1202446,"PRJNA1426605"
"AW.B1.P008_S119","16S_AW_Butterfly_join12","Peru",119,"B1","B11",3,"P008","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Coliadini","Anteos","Anteos menippe","unknown","Manu","Los Amigos","Peru","","27.11.2022",2022,11,27,1127,"27.11.2022",49,"ANDIV1612-23","Ganyra phaloe",25,275,26.06597222,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P008","P008","Pe","Coliadinae","sample","med","SAMN55876326",1202446,"PRJNA1426605"
"AW.B1.P009_S120","16S_AW_Butterfly_join12","Peru",120,"B1","B12",3,"P009","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis albula","unknown","Manu","Los Amigos","Peru","","28.11.2022",2022,11,28,1128,"28.11.2022",49,"ANDIV1613-23","Liptenina",29,290,26.01171875,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P009","P009","Pe","Coliadinae","sample","med","SAMN55876327",1202446,"PRJNA1426605"
"AW.B1.P010_S121","16S_AW_Butterfly_join12","Peru",121,"B1","C1",3,"P010","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis albula","unknown","Manu","Los Amigos","Peru","","28.11.2022",2022,11,28,1128,"28.11.2022",49,"ANDIV1614-23","Liptenina",25,275,26.05745443,-12.563,-70.097,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P010","P010","Pe","Coliadinae","sample","med","SAMN55876328",1202446,"PRJNA1426605"
"AW.B1.P011_S122","16S_AW_Butterfly_join12","Peru",122,"B1","C2",3,"P011","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis albula","unknown","Manu","Los Amigos","Peru","","01.12.2022",2022,12,1,1201,"01.12.2022",49,"ANDIV1615-23","",25,275,25.54315476,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P011","P011","Pe","Coliadinae","sample","med","SAMN55876329",1202446,"PRJNA1426605"
"AW.B1.P012_S123","16S_AW_Butterfly_join12","Peru",123,"B1","C3",3,"P012","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis albula","unknown","Manu","Los Amigos","Peru","","01.12.2022",2022,12,1,1201,"01.12.2022",49,"ANDIV1901-23","",25,275,25.54315476,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P012","P012","Pe","Coliadinae","sample","med","SAMN55876330",1202446,"PRJNA1426605"
"AW.B1.P013_S124","16S_AW_Butterfly_join12","Peru",124,"B1","C4",3,"P013","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Leptophobia","Leptophobia tovaria","unknown","Paucartambo","San Pedro","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1902-23","",143,1350,17.29882813,-13.057,-71.544,"Cusco","Paucartambo","San Pedro",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P013","P013","Pe","Pierinae","sample","med","SAMN55876331",1202446,"PRJNA1426605"
"AW.B1.P014_S125","16S_AW_Butterfly_join12","Peru",125,"B1","C5",3,"P014","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Glutophrissa","Glutophrissa drusilla","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1903-23","",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P014","P014","Pe","Pierinae","sample","med","SAMN55876332",1202446,"PRJNA1426605"
"AW.B1.P015_S126","16S_AW_Butterfly_join12","Peru",126,"B1","C6",3,"P015","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis salome","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1904-23","Abaeis",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P015","P015","Pe","Coliadinae","sample","med","SAMN55876333",1202446,"PRJNA1426605"
"AW.B1.P016_S127","16S_AW_Butterfly_join12","Peru",127,"B1","C7",3,"P016","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Eurema","Eurema xanthochlora","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1905-23","",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P016","P016","Pe","Coliadinae","sample","med","SAMN55876334",1202446,"PRJNA1426605"
"AW.B1.P017_S128","16S_AW_Butterfly_join12","Peru",128,"B1","C8",3,"P017","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis salome","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1906-23","Abaeis",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P017","P017","Pe","Coliadinae","sample","med","SAMN55876335",1202446,"PRJNA1426605"
"AW.B1.P018_S129","16S_AW_Butterfly_join12","Peru",129,"B1","C9",3,"P018","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Glutophrissa","Glutophrissa drusilla","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1907-23","Pierini ?",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P018","P018","Pe","Pierinae","sample","med","SAMN55876336",1202446,"PRJNA1426605"
"AW.B1.P019_S130","16S_AW_Butterfly_join12","Peru",130,"B1","C10",3,"P019","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Glutophrissa","Glutophrissa drusilla","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1908-23","",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P019","P019","Pe","Pierinae","sample","med","SAMN55876337",1202446,"PRJNA1426605"
"AW.B1.P020_S131","16S_AW_Butterfly_join12","Peru",131,"B1","C11",3,"P020","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis salome","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1909-23","Abaeis",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P020","P020","Pe","Coliadinae","sample","med","SAMN55876338",1202446,"PRJNA1426605"
"AW.B1.P021_S132","16S_AW_Butterfly_join12","Peru",132,"B1","C12",3,"P021","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis salome","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1910-23","Abaeis",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P021","P021","Pe","Coliadinae","sample","med","SAMN55876339",1202446,"PRJNA1426605"
"AW.B1.P022_S133","16S_AW_Butterfly_join12","Peru",133,"B1","D1",3,"P022","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis salome","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1911-23","Eurema sp.",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P022","P022","Pe","Coliadinae","sample","med","SAMN55876340",1202446,"PRJNA1426605"
"AW.B1.P023_S134","16S_AW_Butterfly_join12","Peru",134,"B1","D2",3,"P023","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Melete","Melete lycimnia","unknown","Paucartambo","Santa Isabel","Peru","","04.12.2022",2022,12,4,1204,"04.12.2022",50,"ANDIV1912-23","Melete",120,1200,18.75,-13.034,-71.525,"Cusco","Paucartambo","Santa Isabel",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P023","P023","Pe","Pierinae","sample","med","SAMN55876341",1202446,"PRJNA1426605"
"AW.B1.P024_S135","16S_AW_Butterfly_join12","Peru",135,"B1","D3",3,"P024","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Leptophobia","Leptophobia eleone","unknown","Paucartambo","San Pedro","Peru","","05.12.2022",2022,12,5,1205,"05.12.2022",50,"ANDIV1913-23","",143,1350,17.29882813,-13.057,-71.544,"Cusco","Paucartambo","San Pedro",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P024","P024","Pe","Pierinae","sample","med","SAMN55876342",1202446,"PRJNA1426605"
"AW.B1.P025_S136","16S_AW_Butterfly_join12","Peru",136,"B1","D4",3,"P025","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Leptophobia","Leptophobia eleone","unknown","Paucartambo","San Pedro","Peru","","05.12.2022",2022,12,5,1205,"05.12.2022",50,"ANDIV1914-23","",143,1350,17.29882813,-13.057,-71.544,"Cusco","Paucartambo","San Pedro",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P025","P025","Pe","Pierinae","sample","med","SAMN55876343",1202446,"PRJNA1426605"
"AW.B1.P026_S137","16S_AW_Butterfly_join12","Peru",137,"B1","D5",3,"P026","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Leptophobia","Leptophobia eleone","unknown","Paucartambo","San Pedro","Peru","","05.12.2022",2022,12,5,1205,"05.12.2022",50,"ANDIV1915-23","",143,1350,17.29882813,-13.057,-71.544,"Cusco","Paucartambo","San Pedro",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P026","P026","Pe","Pierinae","sample","med","SAMN55876344",1202446,"PRJNA1426605"
"AW.B1.P027_S138","16S_AW_Butterfly_join12","Peru",138,"B1","D6",3,"P027","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Leptophobia","Leptophobia eleone","unknown","Paucartambo","San Pedro","Peru","","05.12.2022",2022,12,5,1205,"05.12.2022",50,"ANDIV1916-23","",143,1350,17.29882813,-13.057,-71.544,"Cusco","Paucartambo","San Pedro",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P027","P027","Pe","Pierinae","sample","med","SAMN55876345",1202446,"PRJNA1426605"
"AW.B1.P028_S139","16S_AW_Butterfly_join12","Peru",139,"B1","D7",3,"P028","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis salome","unknown","Paucartambo","Quita Calzon","Peru","","06.12.2022",2022,12,6,1206,"06.12.2022",50,"ANDIV1917-23","Abaeis",105,1050,19.91666667,-13.026,-71.5,"Cusco","Paucartambo","Quita Calzon",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P028","P028","Pe","Coliadinae","sample","med","SAMN55876346",1202446,"PRJNA1426605"
"AW.B1.P029_S140","16S_AW_Butterfly_join12","Peru",140,"B1","D8",3,"P029","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Glutophrissa","Glutophrissa drusilla","unknown","Paucartambo","Quita Calzon","Peru","","06.12.2022",2022,12,6,1206,"06.12.2022",50,"ANDIV1918-23","Catasticta",105,1050,19.91666667,-13.026,-71.5,"Cusco","Paucartambo","Quita Calzon",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P029","P029","Pe","Pierinae","sample","med","SAMN55876347",1202446,"PRJNA1426605"
"AW.B1.P030_S141","16S_AW_Butterfly_join12","Peru",141,"B1","D9",3,"P030","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Dismorphiinae","Dismorphiini","Pseudopieris","Pseudopieris nehemia","unknown","Paucartambo","Quita Calzon","Peru","","06.12.2022",2022,12,6,1206,"06.12.2022",50,"ANDIV1919-23","",105,1050,19.91666667,-13.026,-71.5,"Cusco","Paucartambo","Quita Calzon",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P030","P030","Pe","Dismorphiinae","sample","med","SAMN55876348",1202446,"PRJNA1426605"
"AW.B1.P031_S142","16S_AW_Butterfly_join12","Peru",142,"B1","D10",3,"P031","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Leptophobia","Leptophobia eleone","unknown","Paucartambo","San Pedro","Peru","","06.12.2022",2022,12,6,1206,"06.12.2022",50,"ANDIV1920-23","",143,1350,17.29882813,-13.057,-71.544,"Cusco","Paucartambo","San Pedro",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P031","P031","Pe","Pierinae","sample","med","SAMN55876349",1202446,"PRJNA1426605"
"AW.B1.P032_S143","16S_AW_Butterfly_join12","Peru",143,"B1","D11",3,"P032","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Coliadinae","Euremini","Eurema","Eurema xanthochlora","unknown","Paucartambo","San Pedro","Peru","","06.12.2022",2022,12,6,1206,"06.12.2022",50,"ANDIV1921-23","Abaeis",143,1350,17.29882813,-13.057,-71.544,"Cusco","Paucartambo","San Pedro",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P032","P032","Pe","Coliadinae","sample","med","SAMN55876350",1202446,"PRJNA1426605"
"AW.B1.P033_S144","16S_AW_Butterfly_join12","Peru",144,"B1","D12",3,"P033","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Catasticta","Catasticta","unknown","Paucartambo","Wayqecha","Peru","","07.12.2022",2022,12,7,1207,"07.12.2022",50,"ANDIV1922-23","Catasticta",250,2390,12.31026786,-13.158,-71.6,"Cusco","Paucartambo","Wayqecha",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P033","P033","Pe","Pierinae","sample","low","SAMN55876351",1202446,"PRJNA1426605"
"AW.B1.P034_S145","16S_AW_Butterfly_join12","Peru",145,"B1","E1",3,"P034","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Catasticta","Catasticta","unknown","Paucartambo","Wayqecha","Peru","","07.12.2022",2022,12,7,1207,"07.12.2022",50,"ANDIV1923-23","Catasticta",250,2390,12.31026786,-13.158,-71.6,"Cusco","Paucartambo","Wayqecha",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P034","P034","Pe","Pierinae","sample","med","SAMN55876352",1202446,"PRJNA1426605"
"AW.B1.P035_S146","16S_AW_Butterfly_join12","Peru",146,"B1","E2",3,"P035","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Catasticta","Catasticta","unknown","Paucartambo","Wayqecha","Peru","","07.12.2022",2022,12,7,1207,"07.12.2022",50,"ANDIV1924-23","Catasticta",250,2390,12.31026786,-13.158,-71.6,"Cusco","Paucartambo","Wayqecha",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P035","P035","Pe","Pierinae","sample","low","SAMN55876353",1202446,"PRJNA1426605"
"AW.B1.P036_S147","16S_AW_Butterfly_join12","Peru",147,"B1","E3",3,"P036","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Catasticta","Catasticta","unknown","Paucartambo","Wayqecha","Peru","","07.12.2022",2022,12,7,1207,"07.12.2022",50,"ANDIV1925-23","Catasticta",250,2390,12.31026786,-13.158,-71.6,"Cusco","Paucartambo","Wayqecha",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P036","P036","Pe","Pierinae","sample","med","SAMN55876354",1202446,"PRJNA1426605"
"AW.B1.P037_S148","16S_AW_Butterfly_join12","Peru",148,"B1","E4",3,"P037","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Catasticta","Catasticta","unknown","Paucartambo","Wayqecha","Peru","","07.12.2022",2022,12,7,1207,"07.12.2022",50,"ANDIV1926-23","Catasticta",250,2390,12.31026786,-13.158,-71.6,"Cusco","Paucartambo","Wayqecha",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P037","P037","Pe","Pierinae","sample","low","SAMN55876355",1202446,"PRJNA1426605"
"AW.B1.P038_S149","16S_AW_Butterfly_join12","Peru",149,"B1","E5",3,"P038","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Catasticta","Catasticta","unknown","Paucartambo","Wayqecha","Peru","","07.12.2022",2022,12,7,1207,"07.12.2022",50,"ANDIV1927-23","Catasticta",250,2390,12.31026786,-13.158,-71.6,"Cusco","Paucartambo","Wayqecha",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P038","P038","Pe","Pierinae","sample","low","SAMN55876356",1202446,"PRJNA1426605"
"AW.B1.P039_S150","16S_AW_Butterfly_join12","Peru",150,"B1","E6",3,"P039","","sample","Peru","Pieridae","Andrea","Lepidoptera","Pieridae","Pierinae","Pierini","Catasticta","Catasticta","unknown","Paucartambo","Wayqecha","Peru","","07.12.2022",2022,12,7,1207,"07.12.2022",50,"ANDIV1928-23","",250,2390,12.31026786,-13.158,-71.6,"Cusco","Paucartambo","Wayqecha",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_P039","P039","Pe","Pierinae","sample","low","SAMN55876357",1202446,"PRJNA1426605"
"AW.B2.2.TES1_S222","16S_AW_Butterfly_join12","Peru",222,"B2","C6",6,"2_TES1","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","","","","control","negative","low","SAMN55876358",256318,"PRJNA1426605"
"AW.B2.2.TES2_S235","16S_AW_Butterfly_join12","Peru",235,"B2","D7",6,"2_TES2","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","","","","control","negative","low","SAMN55876359",256318,"PRJNA1426605"
"AW.B2.2.TES3_S246","16S_AW_Butterfly_join12","Peru",246,"B2","E6",6,"2_TES3","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","","","","control","negative","low","SAMN55876360",256318,"PRJNA1426605"
"AW.B2.3.TES5_S178","16S_AW_Butterfly_join12","Other",178,"B2","G10",7,"3_TES5","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","","","","control","negative","low","SAMN55876363",256318,"PRJNA1426605"
"AW.B2.3.TES6_S179","16S_AW_Butterfly_join12","Other",179,"B2","G11",7,"3_TES6","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","","","","control","negative","low","SAMN55876364",256318,"PRJNA1426605"
"AW.B2.3.TES7_S180","16S_AW_Butterfly_join12","Other",180,"B2","G12",7,"3_TES7","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","","","","control","negative","low","SAMN55876365",256318,"PRJNA1426605"
"AW.B2.3.TES8_S190","16S_AW_Butterfly_join12","Other",190,"B2","H10",7,"3_TES8","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","","","","control","negative","low","SAMN55876366",256318,"PRJNA1426605"
"AW.B2.3.mock25_S192","16S_AW_Butterfly_join12","Other",192,"B2","H12",7,"3_mock25","","positive","positive","mock","positive","positive","positive","positive","positive","positive","positive","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"positive","","","","","","control","positive","med","SAMN55876361",256318,"PRJNA1426605"
"AW.B2.3.spike.high20_S191","16S_AW_Butterfly_join12","Other",191,"B2","H11",7,"3_spike_high20","","positive","positive","spike_high","positive","positive","positive","positive","positive","positive","positive","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"positive","","","","","","control","positive","med","SAMN55876362",256318,"PRJNA1426605"
"AW.B2.G084_S164","16S_AW_Butterfly_join12","Other",164,"B2","F8",7,"G084","G084","sample","Other","Pieridae","Arne","Lepidoptera","Pieridae","Dismorphiinae","Leptideini","Leptidea","Leptidea sinapis","female","Nuremberg","Malmsbach","Germany","9","19.05.2023",2023,5,19,519,"19.05.2023",20,"","",NA,311,11.65714286,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G084_S164","G084","","Dismorphiinae","sample","high","SAMN55876367",1202446,"PRJNA1426605"
